TripID,MMSI,MeanSOG,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,DepTime,ArrTime,DepLat,DepLon,ArrLat,ArrLon,DepCountry,DepCity,ArrCountry,ArrCity,Duration
1387,316029594,0.011111111111111113,TRIPLE CROWN,,,,,,,,2017-01-01 00:06:36,2017-01-01 02:24:35,49.29368,-123.13089,49.29362,-123.13089,CA,West End,CA,West End,0 days 02:17:59
1388,367585780,0.42923076923076936,WE ALL II,,WDG9238,1019.0,23.1,,,,2017-01-01 00:07:27,2017-01-01 02:39:56,47.66115,-122.38466,47.66111,-122.3846,US,Seattle,US,Seattle,0 days 02:32:29
1389,338166967,0.0,VANCOUVER FIREBOAT 1,,,,,,,,2017-01-01 00:08:44,2017-01-01 02:14:42,45.61373,-122.62625,45.61374,-122.62626000000002,US,Vancouver,US,Vancouver,0 days 02:05:58
1390,503641900,0.002127659574468085,PENDANA,,VJN3842,0.0,,,,0.0,2017-01-01 00:02:15,2017-01-01 02:32:13,47.66167,-122.38522,47.66169,-122.38521,US,Seattle,US,Seattle,0 days 02:29:58
1391,367634330,0.5920634920634922,MFT SLAYER,,WDH6068,1019.0,7.32,,,,2017-01-01 00:11:19,2017-01-01 02:39:49,47.2417,-122.55792,47.24189000000001,-122.55766,US,University Place,US,University Place,0 days 02:28:30
1392,269308000,0.04318181818181819,TZOUMAZ,IMO9694921,HBFO,1004.0,240.0,,,,2017-01-01 00:05:07,2017-01-01 02:25:06,49.3314,-123.24827,49.3311,-123.2471,CA,West Vancouver,CA,West Vancouver,0 days 02:19:59
1393,316031981,0.0033333333333333327,FRANCISCAN NO 1,,CFBB,,,,,,2017-01-01 00:05:23,2017-01-01 02:38:20,49.12391,-123.18778,49.1239,-123.18773,CA,Richmond,CA,Richmond,0 days 02:32:57
1394,367107830,0.0,PAPAGALLO II,,WDC9874,1012.0,21.64,5.2,,,2017-01-01 00:07:30,2017-01-01 02:31:31,35.36989000000001,-120.85639,35.36989000000001,-120.85635,US,Morro Bay,US,Morro Bay,0 days 02:24:01
1395,367741980,0.0,KERB APPEAL,,WDI8769,,9.14,,,,2017-01-01 00:02:19,2017-01-01 02:23:17,47.62133,-122.52104,47.62133,-122.52104,US,Bainbridge Island,US,Bainbridge Island,0 days 02:20:58
1396,367590820,0.01,SIN LIMITES,,WDG9753,1019.0,12.8,,,,2017-01-01 00:04:08,2017-01-01 02:42:04,47.56271,-122.62294,47.56271,-122.62292,US,Bremerton,US,Bremerton,0 days 02:37:56
1397,367556560,0.027659574468085108,HYPERFISH,,WDG6398,1012.0,11.03,3.9,,,2017-01-01 00:00:18,2017-01-01 02:27:16,37.8089,-122.41777,37.80889000000001,-122.41777,US,San Francisco,US,San Francisco,0 days 02:26:58
1398,366955010,0.0020833333333333333,PATRICIA LEE,,WDI6183,1019.0,18.99,5.6,,37.0,2017-01-01 00:02:22,2017-01-01 02:33:37,48.51491,-122.60848,48.5149,-122.60848,US,Anacortes,US,Anacortes,0 days 02:31:15
1399,316003663,8.119417475728152,SEASPAN CORSAIR,IMO7434779,CZ6447,1025.0,25.23,7.57,3.9,,2017-01-01 00:04:20,2017-01-01 02:34:42,49.72922,-124.382,49.4794,-124.03232,CA,Powell River,CA,Sechelt,0 days 02:30:22
1400,367177660,0.021951219512195117,TRIUMPH IV,,WBE7851,1012.0,11.64,,,,2017-01-01 00:01:42,2017-01-01 02:25:43,45.60722,-122.68392,45.60722,-122.68393,US,Vancouver,US,Vancouver,0 days 02:24:01
1401,366711270,0.010714285714285714,SEA VENTURE,,WDH8313,1019.0,15.7,4.8,,,2017-01-01 00:05:21,2017-01-01 02:28:18,48.00269,-122.22145,48.00269,-122.22144,US,Everett,US,Everett,0 days 02:22:57
1402,338094647,0.06666666666666668,DREAMTIME,,,1019.0,,,,,2017-01-01 00:04:31,2017-01-01 01:00:28,47.65279,-122.3621,47.65281,-122.3626,US,Seattle,US,Seattle,0 days 00:55:57
1403,316007542,0.07500000000000001,OCEAN REBEL,IMO8903739,,1001.0,18.59,7.07,3.4,,2017-01-01 00:02:12,2017-01-01 02:35:10,48.94701,-125.55122,48.94696,-125.5512,CA,Ucluelet,CA,Ucluelet,0 days 02:32:58
